account_address,EXPR_1,EXPR_2
0x7cf09d7a9a74f746edcb06949b9d64bcd9d1604f,39318989.63633576,12382
0x860bd2dba9cd475a61e6d1b45e16c365f6d78f66,27158962.838247634,151636
0x5aa3393e361c2eb342408559309b3e873cd876d6,14878141.53013818,85901
0x0000000000005117dd3a72e64a705198753fdd54,11160301.808657927,21509
0x78a55b9b3bbeffb36a43d9905f654d2769dc55e8,9701883.268403197,72258
0xdfee68a9adb981cd08699891a11cabe10f25ec44,8611911.45229492,171121
0x3700006fbcde59a8b3af2c134d00e9530000e379,8390857.515429158,24315
0x36dbec5f390a9d14e30756658474807c656bdc23,7732417.704500409,2
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,7093824.405906731,162803
0xbadc0defafcf6d4239bdf0b66da4d7bd36fcf05a,5508385.039356757,11487
0x46c4128981525aa446e02ffb2ff762f1d6a49170,5289932.06214898,2377
0x000000000000006f6502b7f2bbac8c30a3f67e9a,4978178.352565429,37511
0xeef86c2e49e11345f1a693675df9a38f7d880c8f,4632744.198725214,6680
0x057ea18a084855f34365c7cce64d1c5f781acd78,4156222.3639230845,1
0xfe7f0897239ce9cc6645d9323e6fe428591b821c,3828934.755699666,31356
0x00000000000017c75025d397b91d284bbe8fc7f2,3340926.3272457607,9858
0xc8046263d5b5544f6413a98b4693488499195a46,3265640.9996158937,7113
0xc461ea86efe08cc97465cdcf7aa694055a9667df,2791759.709862936,18554
0xd7c09e006a2891880331b0f6224071c1e890a98a,2756776.093438092,32290
0x911605012f87a3017322c81fcb4c90ada7c09116,2662868.394485496,43475
0x0000000089341e263b85d84a0eea39f47c37a9d2,2345138.708003663,77528
0xf5b4f13bdbe12709bd3ea280ebf4b936e99b20f2,2244775.917254253,9652
0xfc90fac785b6cd79a83351ef80922bb484431e8d,2229468.452870244,136
0xe37b5e4de6c4c6e3a1b5d914722a7daaf37590d0,2213801.318861493,2357
0xeb5d3a91b5e721fa251e03bda2c9578e90f30f84,1967880.8365761873,13081
0x384bfb7db2e58c02dd68c8d584ba639fe4308704,1925934.3048290128,19011
0x443d1236439f43d4ab81b16534affb4522506615,1791002.4734666976,13508
0x393e0000cc906900d800a91b9830380028eebfc6,1780460.7622086904,9253
0xe33c8e3a0d14a81f0dd7e174830089e82f65fc85,1742987.000806883,102256
0xa81e48f350178632ec4f4092140c345c0881c2b6,1516302.8839539988,1518
0xb5d228cf2cdc45b9667b7bf418dd3f0eb1da30a3,1406570.3671670624,4994
0x97d43f3301b3f35433bc6af38f7046da20206579,1381197.4702075094,14779
0xcadf4ffa3c2fc4784ba064928f403aee7b02d80e,1313560.8415301775,1769
0x8e60b2b96ea901beb2cafd79b8d0ed249a5efd95,1306339.2108241569,15226
0xf443253607dbde5bda77c358c9b9f244d819e25c,1305239.4838126586,6420
0xa622397cfd777766f4b31ee2fdfe733e85c0c6c8,1303865.6535536237,5007
0xb958a8f59ac6145851729f73c7a6968311d8b633,1264906.8765811638,1176
0x63e0fbb150fd016714be00051d729f32a5295d39,1242352.9445314247,4792
0xe21995754de1802f766d0fe4c727451db4e418aa,1156372.6278541684,4015
0xc06d57ce9b2ab9155c918aed666c04bfc31ae020,1082188.845023849,1643
0x00000000553a85582988aa8ad43fb7dda2466bc7,980139.6829732409,12702
0x018d5c4783f5317815f6e8168942a12adde3cd3c,974814.750706345,26463
0xe0a9efe32985cc306255b395a1bd06d21ccead42,957790.7979027797,7432
0x00000000c2cf7648c169b25ef1c217864bfa38cc,947640.0744914194,21569
0xcd3c09ddb9e3b3cf89f036dd604107054031bd70,941346.6161266189,5929
0x498e84899558545a0f6d4036bdb3a3842cf9b6d0,926350.6047755237,447
0x6780846518290724038e86c98a1e903888338875,831519.9690878702,11737
0x166a309efceedc82c501014130beadd0b3097475,824767.2869308415,618
0xefd27539a896ef7ec5863c5f1949f653720dbf3b,822159.0118698976,1339
0x793ff66b5435a6de9d6d7e70c4c68522e8cd24e1,804045.1118217898,855
0xec850b198a7a8276f92a0fb95d6b3f20eb0dde4c,767955.982833849,4236
0xcbd75d63f98c5ff5d7157edf06abef8a8325c24d,757144.944871795,2796
0x673696fd759618bd1937051f46db672940d1129c,753580.3143963674,1333
0x0000000000438f975cbde76d5fdd1aa76be46577,740339.7826828521,11611
0x6661b55c84ee1000edcbe4dd9cc833e26d16210c,726513.786997905,9829
0xe32fd54add3c631eaf290179539f4bd7cf10d9b8,725606.8363355296,2144
0x7c651d7084b4ba899391d2d4d5d3d47fff823351,709099.4722315458,27529
0x18c0ca3947e255881f94de50b3a906fc2759f7fe,708863.8269636498,4524
0x9116e82841267d01b9c49f0a19617083466cc000,703473.3183502391,4112
0x5af7f71c7747fb0eceb2eef115c3fa34dd4998d3,651272.8270721848,2759
0xfbc312fa3b5be4e7631db2901ae7e0e79a764c9b,601632.301350295,732
0x5b609c6cbd5c1b06e1250806e695eb0ce5433f06,581820.5719894762,316
0x90d57c386e6403bf3473a1001d248d43eb85f84d,574170.150644754,3239
0x4c46ff32fcf1fcd25bae2e26ed5fd3a682412ffc,554634.846698088,1348
0x0000000094acb89a43eac2fbb3a07973efc2435c,553277.2950492067,5616
0x4f92e5038e400383d5827681ef9951e7f3beb33d,527550.0233355294,9989
0x4d638adb8c07a78655e9ae88641c4202774e6584,524965.2912321724,9109
0x0000000000002d534ff79e9c69e7fcc742f0be83,477906.4243083232,16802
0x563bdabaa8846ec445b25bfbed88d160890a02ed,472913.55247275037,9495
0x0aa3e7a66c470ee6dc4f2ba2cead3b32200a8af5,469126.2390561507,1005
0x57813ed84148f8109d49aad27c5877ecf8e62b37,444139.0163782226,1953
0x000000000000abe945c436595ce765a8a261317b,440201.81760965794,22110
0x391fb6e28870b1ec24780510740412f6d35e9141,436256.69585876854,7828
0xb8db34f834e9df42f2002ceb7b829dad89d08e14,435963.2677609938,31735
0x00000000b1786c9698c160d78232c78d6f6474fe,432127.72431849374,5543
0x0000000000f4def5f3572c846b1483daf4588d8f,431615.6598398626,15767
0xd766a62011ee5b68844f4d93659aec5c07f81f60,424707.0842178362,175
0x0000000000051666bbfbb42925c3ee5d50cf6b10,423597.8961427518,15749
0xe523ae1936c070b095e92ba871fb263b2f61e67b,416650.81603623467,2162
0x0000000000000eb4ec62758aae93400b3e5f7f18,408294.88738127565,40753
0x86debf1adf201883d467cc9b636cc8a8658fb989,407634.5162766668,14788
0xcdd9ef12f316d0a06ca1a50b0d1101294abc6710,402252.9016540791,1892
